اداره,وحده,من الاولي الي الرابعه,الخامسه والمنشطه,بي سي جي
ابوحماد,عليم,الثلاثاء,الثلاثاء 2، الثلاثاء 4,
ابوحماد,عمريط,السبت 1، الأحد، الأربعاء,الأحد 5، الأربعاء,السبت
ابوحماد,كشيك,الإثنين,الإثنين 2، الإثنين 4,
ابوحماد,كفر أبو مسلم,الثلاثاء,الثلاثاء 2، الثلاثاء 4,
ابوحماد,كفر العزازى,الأحد، الثلاثاء,الثلاثاء,السبت 5
ابوحماد,كفر حافظ,الثلاثاء,الثلاثاء 2، الثلاثاء 4,
ابوحماد,كفر زيدان منديل,الخميس 2، الخميس 4,الخميس 2,
ابوحماد,كفر عياد,الخميس,الخميس 2، الخميس 4,
ابوحماد,مركز طبى أبو حماد,السبت، الأحد، الثلاثاء، الأربعاء,الأحد، الأربعاء,السبت، الثلاثاء
ابوحماد,منشاه العباسه,الثلاثاء,الثلاثاء 2، الثلاثاء 4,
ابوحماد,ميت ردين,الإثنين، الخميس,الخميس,الثلاثاء 1
الابراهيمية,ابوكلوبة,الأربعاء 1، الأربعاء 3,الأربعاء 1,
الابراهيمية,الابراهيميه,السبت، الأحد، الإثنين، الثلاثاء، الأربعاء,الأحد، الثلاثاء,السبت، الثلاثاء
الابراهيمية,البكاكرة,الأحد 1، الأحد 3,,
الابراهيمية,الجلايله,الإثنين 2,الإثنين 4,
الابراهيمية,الحبش,الأحد,الأحد 2، الأحد 4,
الابراهيمية,الحلوات,الثلاثاء,الثلاثاء 2، الثلاثاء 4,
الابراهيمية,السدس,الأربعاء 1، الأربعاء 3,الأربعاء 1، الأربعاء 3,
الابراهيمية,العشماوى,الإثنين 1، الإثنين 3,الإثنين 3,
الابراهيمية,تل محمد,الإثنين,الإثنين 2، الإثنين 4,
الابراهيمية,كفر عوض سليمان,الأربعاء 1، الأربعاء 3,,
الابراهيمية,كفر محسن,الأحد,الأحد,
الابراهيمية,كفور نجم,السبت، الإثنين، الثلاثاء، الأربعاء,السبت، الأربعاء,الإثنين
الابراهيمية,مباشر,السبت,السبت,
الحسينيه,ازولين,الأحد,الأحد,السبت 5
الحسينيه,الاخيوه,الأحد، الأربعاء,الأحد,السبت 2، السبت 5
الحسينيه,الجما ليه,الثلاثاء,الثلاثاء 2، الثلاثاء 4,الثلاثاء 4
الحسينيه,الخلايلة بالحمادين,الأربعاء,الأربعاء 1، الأربعاء 3,السبت 4
الحسينيه,الشيخ بشير,الإثنين 2، الإثنين 4,الإثنين 2، الإثنين 4,
